视频链接,评论内容,评论点赞,评论回复,视频时间
https://www.youtube.com/watch?v=XtKIGOW1HVs,"Before giving people false hope on naruto Mobile coming global please do some research on tencent, Bandai and Tencent are two different companies. The only CN exclusive game that has a chance of coming global is One Piece fighting path and that is because of nueoverse",10,5,2022-07-14T18:28:00Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,"What this game have to do with naruto and one piece 😂😂😂 this game may got global because this type of game is very popular around the world because of league of legend that why they decide it to be global , so don put other games as well because of a nothing to do game coming global",6,1,2022-07-14T17:53:18Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,"bruh, stop clickbaiting lol",5,0,2022-07-14T20:35:03Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,Just play Arena of Valour it the same as honor of kigs,1,0,2022-07-14T18:04:37Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,Nice clickbait Rokage 😂,4,0,2022-07-14T18:58:45Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,since u deleted my comment for calling you delusional for thinking naruto mobile will get a global release they can because bandai Namco has license for global game and tencent has no affiliation with them.,2,2,2022-07-14T17:49:11Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,What does this have to do with opfp and nm😑,4,9,2022-07-14T18:27:13Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,E,0,0,2022-07-14T17:36:52Z
https://www.youtube.com/watch?v=XtKIGOW1HVs,Idgaf,5,1,2022-07-14T17:38:17Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,"La primera y la ulti es la de lavie, la 2 si es de yorn",2,0,2022-07-14T16:17:19Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,"Ese lavie, para ser su skin base está muy bonitos efectos de habilidades, la estética casi parece una skin legendaria de yorn, seria buena skin, los gráficos de el mapa es mehh en comparación a los de aov  pero en cuanto a personajes UFffff",3,6,2022-07-14T16:16:46Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Oye pero no esta permitido filtrar información acerca de la beta,0,0,2022-07-14T19:42:51Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,"No puedo probar la beta, me dice que no tengo espacio, pero si tengo. Tendré que esperar.",0,0,2022-07-14T19:47:02Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,"Not yorn,,Hou yi is Laville",0,0,2022-07-14T17:15:33Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,"Hola, todavía no ha salido para Europa? XD soy de España y no lo veo en la play store xD",0,0,2022-07-14T23:25:01Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,soy yo o la voz de el narrador es la de naruto?,3,0,2022-07-14T16:17:23Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Los gráficos los veo como mlbb ._.Ojalá sea por q es beta :;-3,0,3,2022-07-14T16:29:03Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Espero q no pese mucho cuando salga a suramerica pq no quiero dejar a mi aov,0,1,2022-07-14T23:42:21Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Será pay to win hasta los huevos típico de los juegos chinos,0,0,2022-07-15T01:48:28Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Famas ahora dónde haces directos?,0,1,2022-07-14T16:46:40Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Una pregunta solo está para unos país o para todos?,0,4,2022-07-14T16:35:34Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,Cuando saldra en toda latam? 🤔la beta y eso,0,1,2022-07-14T16:39:32Z
https://www.youtube.com/watch?v=5eRv2_P6lrU,*procede Adrian a hacerte una biblia por mencionar a aov *,1,1,2022-07-14T16:12:14Z
https://www.youtube.com/watch?v=nI3gE39wmCc,© Beixe o Alpha: https://youtu.be/p1BtIfjuqyU,1,0,2022-07-14T16:30:07Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Eu estou testando e eu acho q o jogo ta muito bom pra um Alpha teste, espero q Lance logo pq eu estou muito animado pra ver como vai ser o jogo finalizado",5,3,2022-07-14T16:46:59Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Como eu disse que o jogo o jogo completo viria com dublagem , esse foi uns motivos de terem parado de dublar os heróis do AOV E os cara ainda jura que a tencent ainda vai investir no AOV",1,0,2022-07-14T21:38:02Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Gente, eu nunca joguei esses testes a afins, então tenho uma dúvida.... Quando lançar de verdade, a gente vai ganhar algo por ter jogado o alfa?",0,0,2022-07-15T02:53:06Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Eu estou testando o jogo. Mas estou confuso... Pq o Lumburr e o Ata estão no jogo, mas não mudaram nada. E tem o Lu Bu também... Aí eu não sei se realmente vai matar o Arena... Pq o mesmo herói idêntico nos dois jogos??",1,0,2022-07-14T21:59:07Z
https://www.youtube.com/watch?v=nI3gE39wmCc,Queria tirar dúvida!No hok existe o sistema de arcanas como no areninha? É vc mostrou no vídeo. Aí é difícil né. Ter que refazer tudo outra vez...mas vamos lá.,3,5,2022-07-14T17:36:42Z
https://www.youtube.com/watch?v=nI3gE39wmCc,Jogo tá bonito em juntando os personagens do AOV,0,0,2022-07-14T19:36:44Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Tem o Arthur tbm, e alguns outros estão disfarçados pra gente não reconhece-los",3,2,2022-07-14T18:19:21Z
https://www.youtube.com/watch?v=nI3gE39wmCc,Mano para mim não tem o 5v5 só a rank; é normal no começo? Eu abaixei hoje.,1,0,2022-07-15T03:11:26Z
https://www.youtube.com/watch?v=nI3gE39wmCc,"Não tô conseguindo baixar os arquivos do jogo, eu reiniciei o wi-fi e fechei o jogo mas mesmo assim os arquivos não baixa, é algum bug?",0,0,2022-07-14T19:12:23Z
