视频编号,视频链接,正向,中立,负向,非负占比,实际获取评论,总评论数,获取数量占比,观看数,,,,,,,,
0,https://www.youtube.com/watch?v=-aOFv55PVkA,128,277,331,55.03%,759,1101,69%,101272,,,,,,,,
1,https://www.youtube.com/watch?v=4JiaoL3Tr9M,59,67,50,71.59%,197,272,72%,259154,,,,,,,,
2,https://www.youtube.com/watch?v=7gbcO6bQkGc,93,151,46,84.14%,309,422,73%,55694,,,,,,,,
3,https://www.youtube.com/watch?v=9dSJ6CjHAw8,39,67,49,68.39%,171,279,61%,46680,,,,,,,,
4,https://www.youtube.com/watch?v=BAKsRgWDUeY,115,148,120,68.67%,437,603,72%,296100,,,,,,,,
5,https://www.youtube.com/watch?v=Bcg2Pmo4WV4,52,93,67,68.40%,238,352,68%,53273,,,,,,,,
6,https://www.youtube.com/watch?v=C51Tikx335w,59,87,25,85.38%,198,266,74%,45828,,,,,,,,
7,https://www.youtube.com/watch?v=CmCBhdj5NO4,134,161,73,80.16%,402,573,70%,285864,,,,,,,,
8,https://www.youtube.com/watch?v=D8Dh8uBs77A,91,165,98,72.32%,402,657,61%,109854,,,,,,,,
9,https://www.youtube.com/watch?v=E1gPBW84_i8,69,96,40,80.49%,229,352,65%,172744,,,,,,,,
10,https://www.youtube.com/watch?v=FD4glxFvB0E,62,76,39,77.97%,199,293,68%,127883,,,,,,,,
11,https://www.youtube.com/watch?v=IBLW-fCNyM4,69,81,44,77.32%,217,310,70%,44987,,,,,,,,
12,https://www.youtube.com/watch?v=IjFKDYHwtY0,72,96,33,83.58%,214,394,54%,191758,,,,,,,,
13,https://www.youtube.com/watch?v=IwdN2CeGTAU,41,65,24,81.54%,146,216,68%,39549,,,,,,,,
14,https://www.youtube.com/watch?v=JDm4k9BTGFE,112,156,57,82.46%,352,498,71%,232503,,,,,,,,
15,https://www.youtube.com/watch?v=JZoqLSEriSk,30,59,19,82.41%,123,168,73%,77699,,,,,,,,
16,https://www.youtube.com/watch?v=Ky0aXbWXm0Q,66,110,32,84.62%,233,284,82%,90566,,,,,,,,
17,https://www.youtube.com/watch?v=LQwCE3wAcGk,27,39,8,89.19%,81,103,79%,19155,,,,,,,,
18,https://www.youtube.com/watch?v=LbeFrQpy0C8,92,161,101,71.47%,392,569,69%,178412,,,,,,,,
19,https://www.youtube.com/watch?v=N7d1CIuzcl4,50,108,50,75.96%,227,375,61%,61766,,,,,,,,
20,https://www.youtube.com/watch?v=NHZBdlB90T8,28,73,37,73.19%,150,193,78%,231850,,,,,,,,
21,https://www.youtube.com/watch?v=NMKO7ovEEEg,39,59,29,77.17%,139,215,65%,202895,,,,,,,,
22,https://www.youtube.com/watch?v=Q0aA6cyXZu8,51,83,58,69.79%,214,354,60%,142100,,,,,,,,
23,https://www.youtube.com/watch?v=QJ5rdN6AfIA,67,105,53,76.44%,238,474,50%,214839,,,,,,,,
24,https://www.youtube.com/watch?v=Riwivcl1Fxc,143,235,79,82.71%,485,674,72%,588960,,,,,,,,
25,https://www.youtube.com/watch?v=Shz98sZ8nXs,45,51,25,79.34%,130,184,71%,28829,,,,,,,,
26,https://www.youtube.com/watch?v=UFBEikAReOc,51,92,45,76.06%,203,285,71%,45157,,,,,,,,
27,https://www.youtube.com/watch?v=W_MRpjymX0U,94,145,37,86.59%,300,461,65%,157523,,,,,,,,
28,https://www.youtube.com/watch?v=Xbj2wG34E9M,87,110,52,79.12%,261,394,66%,73211,,,,,,,,
29,https://www.youtube.com/watch?v=Xnfq9ObI0o0,96,133,95,70.68%,355,599,59%,198654,,,,,,,,
30,https://www.youtube.com/watch?v=Y_vjylsttO4,43,92,37,78.49%,189,308,61%,42854,,,,,,,,
31,https://www.youtube.com/watch?v=_N7rjlKaurA,76,96,50,77.48%,241,344,70%,41300,,,,,,,,
32,https://www.youtube.com/watch?v=aZnUrFVoprI,197,349,190,74.18%,788,1057,75%,287643,,,,,,,,
33,https://www.youtube.com/watch?v=acLVKgJXeM0,248,466,143,83.31%,915,1190,77%,1136099,,,,,,,,
34,https://www.youtube.com/watch?v=b4d89h5iCUc,99,145,60,80.26%,331,595,56%,140002,,,,,,,,
35,https://www.youtube.com/watch?v=bP7PcUxWEwg,71,109,72,71.43%,289,429,67%,161705,,,,,,,,
36,https://www.youtube.com/watch?v=bfbyTPvS7-s,190,286,140,77.27%,664,937,71%,263475,,,,,,,,
37,https://www.youtube.com/watch?v=bmWPE_aaZ_U,38,68,16,86.89%,134,201,67%,27699,,,,,,,,
38,https://www.youtube.com/watch?v=d0PWeAwp3PM,54,94,51,74.37%,225,311,72%,501308,,,,,,,,
39,https://www.youtube.com/watch?v=f0K23C8YPIQ,120,171,72,80.17%,428,627,68%,185835,,,,,,,,
40,https://www.youtube.com/watch?v=gTAQZWd5Rbo,88,150,73,76.53%,338,567,60%,464240,,,,,,,,
41,https://www.youtube.com/watch?v=gUT0Dys1xP0,43,59,23,81.60%,135,211,64%,26001,,,,,,,,
42,https://www.youtube.com/watch?v=h1NjSXCjwMU,51,87,36,79.31%,189,359,53%,96471,,,,,,,,
43,https://www.youtube.com/watch?v=h4b9Myowy5o,42,55,43,69.29%,149,189,79%,24391,,,,,,,,
44,https://www.youtube.com/watch?v=iUpDevTCpUI,93,194,97,74.74%,426,691,62%,72918,,,,,,,,
45,https://www.youtube.com/watch?v=k3mEir6pTP4,81,140,65,77.27%,319,469,68%,191578,,,,,,,,
46,https://www.youtube.com/watch?v=kMprQG8cKkY,110,108,56,79.56%,301,455,66%,82882,,,,,,,,
47,https://www.youtube.com/watch?v=km4PLoDCym0,69,148,49,81.58%,295,425,69%,540962,,,,,,,,
48,https://www.youtube.com/watch?v=lejynkXozK0,302,472,214,78.34%,1086,1482,73%,771334,,,,,,,,
49,https://www.youtube.com/watch?v=nYJfKD6IyTM,97,151,60,80.52%,336,537,63%,128857,,,,,,,,
50,https://www.youtube.com/watch?v=oWNx4kfqYOk,85,100,50,78.72%,253,361,70%,497275,,,,,,,,
51,https://www.youtube.com/watch?v=qUg5N0LHzK4,184,368,102,84.40%,714,981,73%,99703,,,,,,,,
52,https://www.youtube.com/watch?v=rw89EodQZlA,122,187,98,75.92%,458,598,77%,171907,,,,,,,,
53,https://www.youtube.com/watch?v=x6YS6yQemwg,70,96,50,76.85%,228,356,64%,128015,,,,,,,,
54,https://www.youtube.com/watch?v=yALrGfeZDb0,207,314,94,84.72%,654,993,66%,355628,,,,,,,,
55,https://www.youtube.com/watch?v=zo6jOAlz3ZI,124,212,131,71.95%,501,732,68%,463565,,,,,,,,
